city,band,mean_tas,sum_pop_tas,sum_pop,pw_mean
娄底市,2010-01-01 12:00:00,276.45057411386864,8466425.605133057,30569,276.96115689532064
娄底市,2010-01-02 12:00:00,276.3812595684264,8463437.643249512,30569,276.8634120595869
娄底市,2010-01-03 12:00:00,277.3708098382254,8492105.903442383,30569,277.8012333881508
娄底市,2010-01-04 12:00:00,278.7218452311439,8532016.08706665,30569,279.10681039833327
娄底市,2010-01-05 12:00:00,279.23777817508756,8548895.062530518,30569,279.6589702813477
娄底市,2010-01-06 12:00:00,279.6940080853843,8563151.87664795,30569,280.1253517173591
娄底市,2010-01-07 12:00:00,278.55012273617797,8528269.951965332,30569,278.9842635338196
娄底市,2010-01-08 12:00:00,276.6246742569604,8468001.474273682,30569,277.0127081119331
娄底市,2010-01-09 12:00:00,276.6375310041721,8467625.005004883,30569,277.00039271827285
娄底市,2010-01-10 12:00:00,276.132180888197,8455502.55154419,30569,276.6038323642968
岳阳市,2010-01-01 12:00:00,277.4845567309117,12120489.873626709,43670,277.547283572858
岳阳市,2010-01-02 12:00:00,277.4726352530381,12118912.691741943,43670,277.5111676606811
岳阳市,2010-01-03 12:00:00,278.68027534258783,12175506.316070557,43670,278.8071059324607
岳阳市,2010-01-04 12:00:00,280.2390926510296,12247947.674865723,43670,280.46594171893116
岳阳市,2010-01-05 12:00:00,280.5964908595332,12260940.948242188,43670,280.76347488532605
岳阳市,2010-01-06 12:00:00,280.3429534851822,12247162.937042236,43670,280.4479719954714
岳阳市,2010-01-07 12:00:00,277.6661250542106,12127747.34109497,43670,277.71347243176024
岳阳市,2010-01-08 12:00:00,277.2157889316036,12112653.317077637,43670,277.36783414420967
岳阳市,2010-01-09 12:00:00,276.557433238005,12082548.171905518,43670,276.67845596302993
岳阳市,2010-01-10 12:00:00,276.8419631698771,12092561.482666016,43670,276.90775091976224
常德市,2010-01-01 12:00:00,276.3708923301287,16298747.106506348,58887,276.78005513112146
常德市,2010-01-02 12:00:00,276.80677312663533,16320937.128845215,58887,277.1568789180161
常德市,2010-01-03 12:00:00,278.3123132334033,16412356.081451416,58887,278.70932602189646
常德市,2010-01-04 12:00:00,280.10483979661274,16524729.604919434,58887,280.61761687502224
常德市,2010-01-05 12:00:00,280.1355559273973,16523758.094451904,58887,280.6011189982832
常德市,2010-01-06 12:00:00,279.64421838742743,16489328.230529785,58887,280.0164421778964
常德市,2010-01-07 12:00:00,277.41051608507183,16351589.534484863,58887,277.677408162835
常德市,2010-01-08 12:00:00,277.1692151791647,16341848.139312744,58887,277.5119829387258
常德市,2010-01-09 12:00:00,277.2721484482258,16351077.853851318,58887,277.66871896770624
常德市,2010-01-10 12:00:00,276.5328947227293,16302787.247772217,58887,276.8486635042066
张家界市,2010-01-01 12:00:00,275.20708057347167,4672166.345733643,16972,275.2867278890904
张家界市,2010-01-02 12:00:00,276.12459324295446,4687252.282501221,16972,276.17559995882755
张家界市,2010-01-03 12:00:00,277.56598493334656,4712339.436340332,16972,277.6537494897674
张家界市,2010-01-04 12:00:00,279.07615526424735,4738900.73135376,16972,279.2187562664247
张家界市,2010-01-05 12:00:00,279.12024846716446,4739254.5838012695,16972,279.23960545612005
张家界市,2010-01-06 12:00:00,278.77546088230787,4733482.485778809,16972,278.8995101213062
张家界市,2010-01-07 12:00:00,276.64069518370985,4696967.852355957,16972,276.7480469217509
张家界市,2010-01-08 12:00:00,276.5017443370229,4694305.643371582,16972,276.59118803744883
张家界市,2010-01-09 12:00:00,276.46119467707393,4693564.18649292,16972,276.5475009717723
张家界市,2010-01-10 12:00:00,276.1160661829984,4686764.333190918,16972,276.146849704862
怀化市,2010-01-01 12:00:00,276.73928111123007,9558420.9345703125,34505,277.01553208434467
怀化市,2010-01-02 12:00:00,276.79179800340455,9558631.186950684,34505,277.02162547313964
怀化市,2010-01-03 12:00:00,278.1901577242557,9608184.038909912,34505,278.45773189131756
怀化市,2010-01-04 12:00:00,279.95927542588237,9672950.46218872,34505,280.334747491341
怀化市,2010-01-05 12:00:00,279.93653195772487,9668159.94946289,34505,280.1959121710735
怀化市,2010-01-06 12:00:00,280.00017301425447,9669942.501373291,34505,280.2475728553338
怀化市,2010-01-07 12:00:00,279.5199812404256,9657776.986541748,34505,279.89500033449497
怀化市,2010-01-08 12:00:00,277.6509079041935,9590865.221496582,34505,277.9558099259986
怀化市,2010-01-09 12:00:00,277.65631714404077,9592326.687103271,34505,277.99816510949927
