city,mean_light
娄底市,277.0257034301758
岳阳市,276.5812072753906
常德市,277.0537414550781
张家界市,276.24546931340143
怀化市,276.578113132053
株洲市,280.28696594238284
永州市,278.8752685546875
湘潭市,279.0288521902902
湘西土家族苗族自治州,275.2542645489728
益阳市,276.5424281529018
衡阳市,279.0843287876674
邵阳市,277.0804256316154
郴州市,280.2583286451257
长沙市,277.3153305053711
