city,weighted_mean
娄底市,90456.21925503502
岳阳市,9631.186515769123
常德市,69397.00951885946
张家界市,93737.93961930483
怀化市,74915.4635504848
株洲市,23801.033495182626
永州市,75514.08328546402
湘潭市,16960.67279913947
湘西土家族苗族自治州,81857.5201066309
益阳市,71432.4229788885
衡阳市,89533.7037094411
邵阳市,85952.24312655469
郴州市,72048.23674696269
长沙市,11968.701797150861
